phenotype	domain	chapter	subchapter	name	description	source	notes	n_non_missing_female	n_missing_female	n_non_missing_male	n_missing_male	Category	Keep_category
100021_raw	Nutritional	Self-Care	Food	Vitamin D intake	Vitamin D	phesant	Vitamin D. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100023_raw	Nutritional	Self-Care	Food	Starch intake	Starch	phesant	Starch. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100024_raw	Nutritional	Self-Care	Food	Calcium intake	Calcium	phesant	Calcium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100025_raw	Nutritional	Self-Care	Food	Vitamin E intake	Vitamin E	phesant	Vitamin E. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
1438_raw	Nutritional	Self-Care	Food	Bread intake	Bread intake	phesant	"ACE touchscreen question ""How many slices of bread do you eat each WEEK?"" The following checks were performed: If answer If answer > 250 then rejected If answer > 50 then participant asked to confirm If the participant activated the Help button they were shown the message: For other types of bread: - one bread roll = 2 slices - one pitta bread = 2 slices"	188934	5240	164096	2924	Food intake	
1488_raw	Nutritional	Self-Care	Food	Tea intake	Tea intake	phesant	"ACE touchscreen question ""How many cups of tea do you drink each DAY? (Include black and green tea)"" The following checks were performed: If answer If answer > 99 then rejected If answer > 20 then participant asked to confirm If the participant activated the Help button they were shown the message: Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know."	188183	5991	161193	5827	Food intake	
5084_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	Spherical power	Spherical power (right)	phesant	This is the spherical power of refractometry results for the right eye (0.00 indicates none)	41577	152597	36406	130614	Opthalmological	
5085_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	Spherical power (left)	phesant	This is the spherical power of refractometry results for the left eye (0.00 indicates none)	41444	152730	36295	130725	Opthalmological	
5086_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	Cylindrical power (left)	phesant	This is the cylindrical power of refractometry results for the left eye (0.00 indicates none)	41444	152730	36295	130725	Opthalmological	
5087_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	Cylindrical power	Cylindrical power (right)	phesant	This is the cylindrical power of refractometry results for the right eye (0.00 indicates none)	41577	152597	36406	130614	Opthalmological	
5088_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	Astigmatism angle	Astigmatism angle (right)	phesant	This is the astigmatism axial angle of refractometry results for the right eye (blank value indicates no cylinder power)	41577	152597	36406	130614	Opthalmological	
5089_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	Astigmatism angle (left)	phesant	This is the astigmatism axial angle of refractometry results for the left eye (blank value indicates no cylinder power)	41444	152730	36295	130725	Opthalmological	
5096_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	3mm weak meridian (left)	phesant	This is the weak meridian of keratometry results taken at 3mm for the left eye	40300	153874	35098	131922	Opthalmological	
5097_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	6mm weak meridian (left)	phesant	This is the weak meridian of keratometry results taken at 3mm for the left eye	36286	157888	29265	137755	Opthalmological	
5098_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	6mm weak meridian	6mm weak meridian (right)	phesant	This is the weak meridian of keratometry results taken at 6mm for the right eye	36428	157746	29828	137192	Opthalmological	
5099_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	3mm weak meridian (right)	phesant	This is the weak meridian of keratometry results taken at 3mm for the right eye	40236	153938	35174	131846	Opthalmological	
5100_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	3mm weak meridian angle	3mm weak meridian angle (right)	phesant	This is the weak meridian angle of keratometry results taken at 3mm for the right eye (blank indicates no cylinder power)	40236	153938	35174	131846	Opthalmological	
5101_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	6mm weak meridian angle	6mm weak meridian angle (right)	phesant	This is the weak meridian angle of keratometry results taken at 6mm for the right eye (blank indicates no cylinder power)	36428	157746	29828	137192	Opthalmological	
5102_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	6mm weak meridian angle (left)	phesant	This is the weak meridian angle of keratometry results taken at 6mm for the left eye (blank indicates no cylinder power)	36286	157888	29265	137755	Opthalmological	
5103_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	3mm weak meridian angle (left)	phesant	This is the weak meridian angle of keratometry results taken at 3mm for the left eye (blank indicates no cylinder power)	40300	153874	35098	131922	Opthalmological	
5104_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	3mm strong meridian angle (left)	phesant	This is the strong meridian angle of keratometry results taken at 3mm for the left eye (blank indicates no cylinder power)	40300	153874	35098	131922	Opthalmological	
5105_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	6mm strong meridian angle (left)	phesant	This is the strong meridian angle of keratometry results taken at 6mm for the left eye (blank indicates no cylinder power)	36286	157888	29265	137755	Opthalmological	
5106_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	6mm strong meridian angle	6mm strong meridian angle (right)	phesant	This is the strong meridian angle of keratometry results taken at 6mm for the right eye (blank indicates no cylinder power)	36428	157746	29828	137192	Opthalmological	
5107_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	3mm strong meridian angle	3mm strong meridian angle (right)	phesant	This is the strong meridian angle of keratometry results taken at 3mm for the right eye (blank indicates no cylinder power)	40236	153938	35174	131846	Opthalmological	
5108_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	3mm asymmetry angle	3mm asymmetry angle (right)	phesant	This is the asymmetric angle of keratometry results taken at 3mm for the right eye (blank indicates no asymmetry)	39745	154429	34293	132727	Opthalmological	
5109_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	6mm asymmetry angle	6mm asymmetry angle (right)	phesant	This is the asymmetric angle of keratometry results taken at 6mm for the right eye (blank indicates no asymmetry)	24563	169611	16827	150193	Opthalmological	
5110_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	6mm asymmetry angle (left)	phesant	This is the asymmetric angle of keratometry results taken at 6mm for the left eye (blank indicates no asymmetry)	24316	169858	16367	150653	Opthalmological	
5111_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	3mm asymmetry angle (left)	phesant	This is the asymmetric angle of keratometry results taken at 3mm for the left eye (blank indicates no asymmetry)	39743	154431	34075	132945	Opthalmological	
5112_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	3mm cylindrical power angle (left)	phesant	This is the cylindrical power angle of keratometry results taken at 3mm for the left eye (blank indicates none)	40295	153879	35094	131926	Opthalmological	
5113_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	6mm cylindrical power angle (left)	phesant	This is the cylindrical power angle of keratometry results taken at 6mm for the left eye (blank indicates none)	36276	157898	29253	137767	Opthalmological	
5114_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	6mm cylindrical power angle	6mm cylindrical power angle (right)	phesant	This is the cylindrical power angle of keratometry results taken at 6mm for the right eye (blank indicates none)	36415	157759	29822	137198	Opthalmological	
5115_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	3mm cylindrical power angle	3mm cylindrical power angle (right)	phesant	This is the cylindrical power angle of keratometry results taken at 3mm for the right eye (blank indicates none)	40231	153943	35170	131850	Opthalmological	
5116_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	3mm cylindrical power	3mm cylindrical power (right)	phesant	This is the cylindrical power of keratometry results taken at 3mm for the right eye (0 indicates none)	40236	153938	35174	131846	Opthalmological	
5117_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	6mm cylindrical power	6mm cylindrical power (right)	phesant	This is the cylindrical power of keratometry results taken at 6mm for the right eye (0 indicates none)	36428	157746	29828	137192	Opthalmological	
5118_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	6mm cylindrical power (left)	phesant	This is the cylindrical power of keratometry results taken at 6mm for the left eye (0 indicates none)	36286	157888	29265	137755	Opthalmological	
5119_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	3mm cylindrical power (left)	phesant	This is the cylindrical power of keratometry results taken at 3mm for the left eye (0 indicates none)	40300	153874	35098	131922	Opthalmological	
5132_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	3mm strong meridian	3mm strong meridian (right)	phesant	This is the strong meridian angle of keratometry results taken at 3mm for the right eye	40236	153938	35174	131846	Opthalmological	
5133_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	6mm strong meridian	6mm strong meridian (right)	phesant	This is the strong meridian angle of keratometry results taken at 6mm for the right eye	36428	157746	29828	137192	Opthalmological	
5134_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	6mm strong meridian (left)	phesant	[keratometry@6mm/left] strong meridian	36286	157888	29265	137755	Opthalmological	
5135_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	3mm strong meridian (left)	phesant	This is the strong meridian angle of keratometry results taken at 3mm for the left eye	40300	153874	35098	131922	Opthalmological	
5156_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	3mm asymmetry index (left)	phesant	This is the asymmetry index as part of the keratometry result taken at 3mm for the left eye	39743	154431	34075	132945	Opthalmological	
5157_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	6mm asymmetry index (left)	phesant	This is the asymmetry index as part of the keratometry result taken at 6mm for the left eye	24316	169858	16367	150653	Opthalmological	
5158_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	6mm asymmetry index	6mm asymmetry index (right)	phesant	This is the asymmetry index as part of the keratometry result taken at 6mm for the right eye	24563	169611	16827	150193	Opthalmological	
5159_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	3mm asymmetry index	3mm asymmetry index (right)	phesant	This is the asymmetry index as part of the keratometry result taken at 3mm for the right eye	39745	154429	34293	132727	Opthalmological	
5160_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	3mm regularity index	3mm regularity index (right)	phesant	This is the regularity index as part of the keratometry result taken at 3mm for the right eye	39755	154419	34304	132716	Opthalmological	
5161_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	6mm regularity index	6mm regularity index (right)	phesant	This is the regularity index as part of the keratometry result taken at 6mm for the right eye	24611	169563	16844	150176	Opthalmological	
5162_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	6mm regularity index (left)	phesant	This is the regularity index as part of the keratometry result taken at 6mm for the left eye	24324	169850	16376	150644	Opthalmological	
5163_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	3mm regularity index (left)	phesant	This is the regularity index as part of the keratometry result taken at 3mm for the left eye	39750	154424	34079	132941	Opthalmological	
5201_raw	Ophthalmological	Sensory Functions and Pain	Seeing Functions	NA	logMAR, final (right)	phesant	Visual acuity (right), final logMAR	42349	151825	36944	130076	Opthalmological	
5208_raw	Ophthalmological	Sensory Functions and Pain	Seeing Functions	NA	logMAR, final (left)	phesant	Visual acuity (left), final logMAR	42332	151842	36907	130113	Opthalmological	
5254_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	Intra-ocular pressure, corneal-compensated	Intra-ocular pressure, corneal-compensated (right)	phesant	corneal-compensated intraocular pressure for right eye	40769	153405	35861	131159	Opthalmological	
5255_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	Intra-ocular pressure, Goldmann-correlated (right)	phesant	goldmann-correlated intraocular pressure for right eye	40769	153405	35861	131159	Opthalmological	
5256_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	Corneal hysteresis	Corneal hysteresis (right)	phesant	corneal hysteresis for right eye (a measure of viscuous damping in the cornea)	40769	153405	35861	131159	Opthalmological	
5257_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	Corneal resistance factor	Corneal resistance factor (right)	phesant	corneal resistance factor for right eye	40769	153405	35861	131159	Opthalmological	
5262_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	Intra-ocular pressure, corneal-compensated (left)	phesant	corneal-compensated intraocular pressure for left eye	40691	153483	35819	131201	Opthalmological	
5263_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	Intra-ocular pressure, Goldmann-correlated (left)	phesant	goldmann-correlated intraocular pressure for left eye	40691	153483	35819	131201	Opthalmological	
5264_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	Corneal hysteresis (left)	phesant	corneal hysteresis for left eye (a measure of viscuous damping in the cornea)	40691	153483	35819	131201	Opthalmological	
5265_raw	Ophthalmological	The Eye, Ear and Related Structures	Structure of Eyeball	NA	Corneal resistance factor (left)	phesant	corneal resistance factor for left eye	40691	153483	35819	131201	Opthalmological	
20127_raw	Psychiatric	Mental Functions	Temperament and Personality Functions	Neuroticism score	Neuroticism score	phesant	"This is an externally derived summary score of neuroticism, based on 12 neurotic behaviour domains as reported from fields 1920, 1930, 1940, 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020 and 2030 from the touchscreen questionnaire at baseline. Participants were assessed for twelve domains of neurotic behaviours via the touchscreen questionnaire. Questions included: Does your mood often go up and down? Do you ever feel 'just miserable' for no reason? Are you an irritable person? Are your feelings easily hurt? Do you often feel 'fed-up'? Would you call yourself a nervous person? Are you a worrier? Would you call yourself tense or 'highly strung'? Do you worry too long after an embarrassing experience? Do you suffer from 'nerves'? Do you often feel lonely? Are you often troubled by feelings of guilt? Participants could answer Yes, No, Do not know or Prefer not to answer. This field summarises the number of Yes answers across these twelve questions into a single integer score for each participant. This derived data field has come from Professor Jill Pell from the Institute of Health &amp; Wellbeing, University of Glasgow. Methods on how these fields were derived can be found in the Additional Resources tab."	155126	39048	137880	29140	Psychiatric	Psychiatric
20420_raw	Psychiatric	Mental Functions	Temperament and Personality Functions	NA	Longest period spent worried or anxious	phesant	"Question asked: ""What is the longest period of time that this kind of worrying has ever continued?"" Question was asked when ~F20421~ was Yes."	15627	178547	9111	157909	Psychiatric	Psychiatric
20433_raw	Psychiatric	Mental and Behavioural Disorders	Depressive Episode	NA	Age at first episode of depression	phesant	"Question asked: ""About how old were you the FIRST time you had a period of two weeks like this? (Whether or not you received any help for it.)"" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."	38938	155236	22095	144925	Psychiatric	Psychiatric
20434_raw	Psychiatric	Mental and Behavioural Disorders	Depressive Episode	NA	Age at last episode of depression	phesant	"Question asked: ""About how old were you the LAST time you had a period of two weeks like this? (Whether or not you received any help for it.)"" Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."	37746	156428	21514	145506	Psychiatric	Psychiatric
20455_raw	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Cannabinoid	NA	Age when last took cannabis	phesant	"Question asked: ""About how old were you when you last had cannabis?"" Question was asked unless the answer to ~F20453~ was No."	12607	181567	13091	153929	Psychiatric	Psychiatric
22507_raw	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	NA	Age of stopping smoking	phesant	"Participants who had stopped smoking where asked: ""At what age did you give up?"""	16402	177772	16933	150087	Psychiatric	Psychiatric
2867_raw	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	NA	Age started smoking in former smokers	phesant	"ACE touchscreen question ""How old were you when you first started smoking on most days?"" The following checks were performed: If answer If answer > Participants age then rejected If answer ~F2867~ was collected from participants who indicated that in the past they smoked on most or all days, as defined by their answers to ~F1249~"	39933	154241	48965	118055	Psychiatric	Psychiatric
3436_raw	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	Age started smoking in current smokers	Age started smoking in current smokers	phesant	"ACE touchscreen question ""How old were you when you first started smoking on most days?"" The following checks were performed: If answer If answer > Participants age then rejected If answer ~F3436~ was collected from participants who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~"	12942	181232	14349	152671	Psychiatric	Psychiatric
4609_raw	Psychiatric	Mental and Behavioural Disorders	Depressive Episode	Longest period of depression	Longest period of depression	phesant	"ACE touchscreen question ""How many weeks was the longest period when you were feeling depressed or down?"" The following checks were performed: If answer If answer > 999 then rejected ~F4609~ was collected from participants who indicated they have felt depressed or down for at least a whole week, as defined by their answers to ~F4598~"	28870	165304	21794	145226	Psychiatric	Psychiatric
5375_raw	Psychiatric	Mental Functions	Temperament and Personality Functions	Longest period of unenthusiasm or disinterest	Longest period of unenthusiasm / disinterest	phesant	"ACE touchscreen question ""How many weeks was the longest period when you were uninterested in things or unable to enjoy the things you used to?"" The following checks were performed: If answer If answer > 999 then rejected ~F5375~ was collected from participants who indicated they have been uninterested in things or unable to enjoy things they used to for at least a week, as defined by their answers to ~F4631~"	18563	175611	13602	153418	Psychiatric	Psychiatric
2139_raw	Reproduction	Genitourinary and Reproductive Functions	Sexual Functions	NA	Age first had sexual intercourse	phesant	"ACE touchscreen question ""What was your age when you first had sexual intercourse? (Sexual intercourse includes vaginal, oral or anal intercourse)"" The following checks were performed: If answer If answer > Participants age then rejected If answer If the participant activated the Help button they were shown the message: Sexual intercourse includes vaginal, oral or anal intercourse. If you are unsure, please provide an estimate or select Do not know."	170101	24073	147593	19427	Age at first intercourse	
20150_raw	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	NA	Forced expiratory volume in 1-second (FEV1), Best measure	phesant	"Highest measure from the array of values for Forced Expiratory Volume in 1-second (FEV1) ~F3063~, which was ""acceptable"" according to corresponding acceptability field (~F3061~). A blow was deemed acceptable if recorded as 0 (no problems) or 32 (0x20 - ""USER_ACCEPTED""). This derived data field has come from Professor Martin Tobin at the University of Leicester."	144852	49322	127486	39534	Exercise tolerance	
20151_raw	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	NA	Forced vital capacity (FVC), Best measure	phesant	"Highest measure from the array of values for Forced Vital Capacity (FVC) (~F3062~), which was ""acceptable"" according to corresponding acceptability field (~F3061~). A blow was deemed acceptable if recorded as 0 (no problems) or 32 (0x20 - ""USER_ACCEPTED""). This derived data field has come from Professor Martin Tobin at the University of Leicester."	144852	49322	127486	39534	Exercise tolerance	
20153_raw	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	NA	Forced expiratory volume in 1-second (FEV1), predicted	phesant	"Predicted Forced Expiratory Volume in 1-second (FEV1), was calculated using a subset of ""healthy never smokers"" from UK Biobank. ""Healthy never smokers"", were selected as individuals with ""Ever Smoking Status""=0 and with ""Reproducible measure using the European Respiratory Society/American Thoracic Society (ERS/ATS) Criteria""=YES (1), with the following exclusions: ~F2316~: Individuals who indicated that they had experienced wheeze: ""Yes"" (1), ""Do not know"" (-1) or ""Prefer not to answer"" (-3). ~F6152~: Individuals who reported ""emphysema/chronic bronchitis"" (6) or ""asthma"" (8) or ""Prefer not to answer"" (-3). ~F20002~: Individuals who reported any of the following: asthma (1111), COPD (1112), emphysema/chronic bronchitis (1113), bronchiectasis (1114), interstitial lung disease (1115), asbestosis (1120), pulmonary fibrosis (1121), fibrosing/unspecified alveolitis (1122), respiratory failure (1124), pleurisy (1125), spontaneous/recurrent pneumothorax (1126), other respiratory problems (1117). Healthy never smokers were grouped into 58 age-sex bands (29 age bands per sex; ages 39, 40 and 41 were grouped into one band and ages 69, 70 and 72 were grouped into one band with ages 42 to 68 each forming a separate band) and the following linear regression model was fitted in each age-sex band: FEV1 = Beta0 + Beta1 * Standing Height Predicted FEV1 was then calculated for all samples who were never smokers (""Ever Smoking Status""=0) or heavy smokers (""Ever Smoking Status""=1 AND ""Pack years as proportion of life span exposed to smoking"" &gt;= 0.42) and with ""Reproducible measure using the European Respiratory Society/American Thoracic Society (ERS/ATS) Criteria""=YES, using the estimates of Beta0 and Beta1 , from the appropriate age-sex band: Predicted FEV1= (pred. Beta0 ) + (pred. Beta1 )^ * Standing Height Five individuals were outliers in terms of their FEV1 and were not coded. This derived data field has come from Professor Martin Tobin at the University of Leicester."	67510	126664	49731	117289	Exercise tolerance	
20154_raw	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	NA	Forced expiratory volume in 1-second (FEV1), predicted percentage	phesant	This value was only calculated for samples with non-missing predicted Forced Expiratory Volume in 1-second, using derived variables Force Expiratory Volume in 1-second (FEV1) and predicted Forced Expiratory Volume in 1-second (pred.FEV1). It is defined as the Force Expiratory Volume in 1-second divided by the Percent predicted Forced Expiratory Volume in 1-second multiplied by 100: FEV1 /pred.FEV1 * 100 This derived data field has come from Professor Martin Tobin at the University of Leicester.	67510	126664	49731	117289	Exercise tolerance	
22146_raw	Respiratory	Disease of the Respiratory System	Vasomotor and Allergic Rhinitis	NA	Age hayfever or allergic rhinitis diagnosed by doctor	phesant	User was asked the age at which doctor diagnosed hayfever or allergic rhinitis	11862	182312	9042	157978	Vasomotor and Allergic Rhinitis	Hayfever
22147_raw	Respiratory	Disease of the Respiratory System	Asthma	NA	Age asthma diagnosed by doctor	phesant	User was asked the age at which doctor diagnosed asthma	6715	187459	5002	162018	Asthma	
22503_raw	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Functions of the Respiratory System	Years of cough on most days	Years of cough on most days	phesant	"Participants who indicated they coughed on most days were asked: ""For how many years have you had this cough?"""	6545	187629	6048	160972	Respiratory	
3062_raw	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	Forced vital capacity (FVC)	Forced vital capacity (FVC)	phesant	FVC value calculated from blow	178465	15709	150939	16081	Exercise tolerance	
3063_raw	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	Forced expiratory volume in 1-second (FEV1)	Forced expiratory volume in 1-second (FEV1)	phesant	FEV1 value calculated from blow	178465	15709	150939	16081	Exercise tolerance	
3064_raw	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	Peak expiratory flow (PEF)	Peak expiratory flow (PEF)	phesant	Peak expiratory flow during blow	178465	15709	150939	16081	Exercise tolerance	
3761_raw	Respiratory	Disease of the Respiratory System	Vasomotor and Allergic Rhinitis	NA	Age hay fever, rhinitis or eczema diagnosed	phesant	"ACE touchscreen question ""What was your age when the hayfever, rhinitis or eczema was first diagnosed?"" The following checks were performed: If answer If answer > Participants age then rejected If answer If answer > 69 then participant asked to confirm If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F3761~ was collected from participants who indicated they were told by a doctor that they have had hayfever, allergic rhinitis or eczema, as defined by their answers to ~F6152~"	40616	153558	31616	135404	Vasomotor and Allergic Rhinitis	Hayfever
3786_raw	Respiratory	Disease of the Respiratory System	Asthma	NA	Age asthma diagnosed	phesant	"ACE touchscreen question ""What was your age when the asthma was first diagnosed?"" The following checks were performed: If answer If answer > Participants age then rejected If answer If answer > 69 then participant asked to confirm If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F3786~ was collected from participants who indicated they were told by a doctor that they have had asthma, as defined by their answers to ~F6152~"	20858	173316	16097	150923	Asthma	
6032_raw	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	Maximum workload during fitness test	Maximum workload during fitness test	phesant	Maximum workload attained during the fitness test The Bike Test consists of three phases, a Pre-Test phase, where a resting ECG is recorded for some time. An Activity phase, where the participant cycles for a set period of time with increasing cycling workload, and finally a Recovery phase, where the participant has stopped pedalling and an ECG is recorded.	28833	165341	25165	141855	Exercise tolerance	
6033_raw	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	Maximum heart rate during fitness test	Maximum heart rate during fitness test	phesant	"This is the maximum heart rate recorded during bike exercise test. The Bike Test consists of three phases: A Pre-Test phase, where a resting ECG is recorded for some time; an Activity phase, where the participant cycles for a set period of time with increasing cycling workload; and finally a Recovery phase, where the participant has stopped pedalling and an ECG is recorded. Heart rate is recorded in all stages and this field gives the maximum of those values."	28824	165350	25160	141860	Exercise tolerance	
6038_raw	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	NA	Number of trend entries	phesant	Number of trend entries during exercise bike test The Bike Test consists of three phases, a Pre- Test phase, where a resting ECG is recorded for some time. An Activity phase, where the participant cycles for a set period of time with increasing cycling workload, and finally a Recovery phase, where the participant has stopped pedalling and an ECG is recorded. At various points, called trends, during the test readings about heart rate, workload etc is recorded. This is the total number of trend entries.	28833	165341	25165	141855	Exercise tolerance	
20015_raw	Skeletal	Structures Related to Movement	Height	NA	Sitting height	phesant	Distance from rump to crown when sitting, calculated as the difference between ~F51~ and ~F3077~.	193600	574	166466	554	Height	
3143_raw	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	Ankle spacing width	Ankle spacing width	phesant	Ankle width as indicated by the spacing between measurement transducer pads on heel	111163	83011	95426	71594	Skeletal	
3144_raw	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	NA	Heel Broadband ultrasound attenuation, direct entry	phesant	Broadband ultrasound attenuation through heel	111160	83014	95416	71604	Skeletal	
3147_raw	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	NA	Heel quantitative ultrasound index (QUI), direct entry	phesant	The QUI or 'stiffness' is based on measure of the speed of sound and broadband ultrasound attenuation. Direct entry.	111163	83011	95426	71594	Skeletal	
3148_raw	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	Heel bone mineral density (BMD)	Heel bone mineral density (BMD)	phesant	Estimation of bone mineral density (BMD) in the heel is based on the Quantitative Ultrasound Index through the calcaneus. Direct entry.	111152	83022	95344	71676	Skeletal	
4100_raw	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	NA	Ankle spacing width (left)	phesant	Left ankle width as indicated by the spacing between measurement transducer pads on heel	61557	132617	53073	113947	Skeletal	
4101_raw	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	NA	Heel broadband ultrasound attenuation (left)	phesant	Broadband ultrasound attenuation through left heel	61556	132618	53069	113951	Skeletal	
4104_raw	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	NA	Heel quantitative ultrasound index (QUI), direct entry (left)	phesant	The QUI or 'stiffness' is based on measure of the speed of sound and broadband ultrasound attenuation. Direct entry.	61557	132617	53073	113947	Skeletal	
4105_raw	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	NA	Heel bone mineral density (BMD) (left)	phesant	Estimation of bone mineral density (BMD) in the left heel is based on the Quantitative Ultrasound Index through the calcaneus. Direct entry.	61547	132627	53014	114006	Skeletal	
4106_raw	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	NA	Heel bone mineral density (BMD) T-score, automated (left)	phesant	This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.	61557	132617	53073	113947	Skeletal	
