GENE                CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
RNF19A                8  101269288  101348446      3       2  144338     -0.83403      0.79787
AP001574.1            8  101349823  101362935     10       4  168035     -0.59774      0.72499
SNX31                 8  101585116  101675643      6       2  173005      0.27875      0.39022
PABPC1                8  101698044  101735037     23      11  167713     -0.41078      0.65938
NCALD                 8  102698771  103137135      1       1   42455      -1.4417       0.9253
AP000426.1            8  102698775  102701321      2       1  101373       1.2162      0.11196
RRM2B                 8  103216730  103251346      8       4  173005     -0.10335      0.54116
AP002852.1            8  103540968  103550896      1       1  173005       1.2817      0.09998
KLF10                 8  103661007  103668130     14       7  166568      0.64125      0.26068
AP002851.1            8  103668692  103699346      1       1  173005     -0.38073       0.6483
GASAL1                8  103817745  103822267      2       1  173005       2.4395    0.0073531
AZIN1                 8  103838585  103906092     23      15  141976      0.47051        0.319
AZIN1-AS1             8  103876499  104014652      1       1   90186       1.3885       0.0825
ATP6V1C1              8  104033291  104085279      1       1  173005     -0.66102       0.7457
LINC01181             8  104133260  104145194      2       1  173005      0.11733       0.4533
FZD6                  8  104310661  104345094      4       2  173005      -1.4341      0.92422
CTHRC1                8  104383743  104395225      7       3  165708       1.1335      0.12851
AC012213.1            8  104495626  104513904      4       2  160852      0.58929      0.27783
OXR1                  8  107282473  107764922     11       6  138875     -0.14919       0.5593
AC090579.1            8  107532702  107669776      7       3  166819       1.5199     0.064262
AP000428.2            8  108172582  108178823      1       1  173005      0.49387       0.3107
ANGPT1                8  108261721  108510283      4       2  138784     -0.53127      0.70238
AC025508.1            8  108869817  108975744      1       1   95279      -2.0276       0.9787
RSPO2                 8  108911544  109095913      1       1  173005      -0.9311       0.8241
TMEM74                8  109619079  109799844      1       1  173005      0.67323       0.2504
SYBU                  8  110586207  110704020      2       1  173005     -0.92085      0.82144
AC023245.1            8  110911475  110911991      1       1   42455     -0.65853       0.7449
KCNV1                 8  110975874  110988076      1       1  173005     -0.94512       0.8277
H2AZP7                8  112633687  112634026      1       1  173005      0.66633       0.2526
CSMD3                 8  113235157  114449328      7       4  129248      0.79916       0.2121
LINC00536             8  116962736  117337297     11       7  141534      0.45988       0.3228
AC084114.1            8  118277511  118330940      1       1   42455     0.020054        0.492
EXT1                  8  118806729  119124092      2       1  173005     -0.06664      0.52657
SAMD12                8  119201698  119634234      4       2  173005      -1.4065      0.92022
AC023590.1            8  119294378  119412844     13       9  139967       1.3657     0.086013
SAMD12-AS1            8  119632737  119918394      8       5  146051      0.73799      0.23026
TNFRSF11B             8  119935796  119964439      3       1  170553      0.37553      0.35363
DEPTOR                8  120885957  121063152     28      12  157280     -0.61499      0.73072
COL14A1               8  121072019  121384275      2       1  173005       1.0304       0.1514
SNTB1                 8  121547985  121825513      4       2  151735       1.1691      0.12118
AC104958.1            8  121773493  121789072      3       1  173005    -0.045997      0.51834
HAS2-AS1              8  122651533  122656933      6       3  147273      -1.6579      0.95133
LINC02855             8  122681174  122709840      1       1  173005      0.45348       0.3251
AC037486.1            8  122966879  123139423     11       6  147328      0.51731      0.30247
LINC01151             8  123682624  123706345      2       1  130465     -0.95067      0.82911
AC016405.3            8  123792210  123793069     13       8  154833       1.0185      0.15422
FAM83A-AS1            8  124213412  124214983      1       1   87924      -1.8132       0.9651
RNU6-628P             8  124275083  124275189      1       1  143265       0.3353       0.3687
FBXO32                8  124510129  124553446      4       2  173005      0.24699      0.40246
AC090193.1            8  124575310  124581002      3       1  173005       1.7332     0.041528
FAM91A1               8  124780696  124827692      4       2  171166       1.7834     0.037259
MTSS1                 8  125563031  125740730     31      16  152908       1.4813     0.069257
AC100858.3            8  125823284  125869758     16       8  155657     -0.87845      0.81015
WASHC5                8  126036502  126104082     11       7  165270      -1.1407        0.873
TRIB1                 8  126442563  126450647      3       2  155514     -0.91928      0.82103
AC091114.1            8  126479181  126553615     59      27  160217      0.95683      0.16933
AC016074.2            8  126660571  127021174      5       2  144352       1.2636      0.10318
AC084116.1            8  127509630  127512685      2       1   68995      0.40186      0.34389
LRATD2                8  127564687  127570638      4       2  130054      0.71831      0.23628
AC024382.1            8  127778441  127859226      2       1  154458      -1.3601       0.9131
CASC8                 8  128302062  128494384      1       1  173005     0.016294       0.4935
AC104370.1            8  128590718  128649112      3       2  147096    -0.012412      0.50495
CASC11                8  128698588  128746213      4       2  156116      -1.5058      0.93394
MYC                   8  128747680  128753674      3       2  159013      -2.0549      0.98006
PVT1                  8  128806779  129113499      1       1  173005      -2.0537         0.98
AC011257.1            8  130428195  130458098      4       2  161072      -2.7357      0.99689
CYRIB                 8  130851839  131029375     25       8  166694      0.78943      0.21493
AC022973.4            8  130902711  130914004     17      10  153322     -0.67036      0.74869
AC131568.1            8  130965975  130976880     11       6  156867     -0.43907      0.66969
ASAP1                 8  131064353  131455906      2       1  173005     -0.15323      0.56089
ADCY8                 8  131792547  132054672      7       4  161938      -2.1159      0.98282
AC103726.1            8  131904316  131905031      5       2  170702     0.086718      0.46545
EFR3A                 8  132916335  133025889      2       1  173005        1.126      0.13009
KCNQ3                 8  133133108  133493200      7       2  173005      0.15347      0.43901
TMEM71                8  133697253  133772958      1       1  173005     -0.86398       0.8062
TG                    8  133879203  134147147      4       2  127892       1.4489     0.073685
SLA                   8  134048973  134115298      6       4  121703     -0.51185      0.69562
CCN4                  8  134203282  134242587     12       6  142789     -0.74955      0.77324
NDRG1                 8  134249414  134314265      1       1  173005     -0.70341       0.7591
ST3GAL1               8  134467091  134584183     72      38  162430    -0.030576       0.5122
AC090821.2            8  134787794  134789595      1       1  173005     -0.10547        0.542
AC110741.1            8  134898739  134914650     22      10  164684     -0.93034       0.8239
NCRNA00250            8  135850312  135854880      1       1  173005     -0.75475       0.7748
KHDRBS3               8  136469700  136668965      1       1   44539      -2.1394       0.9838
AC079015.1            8  139075511  139085483     22      11  161375      -1.4848       0.9312
FAM135B               8  139142266  139509065      2       1  143265       1.9589     0.025063
COL22A1               8  139600478  139926249      9       5  165324      -2.4158      0.99215
KCNK9                 8  140613081  140715299     11       7  152052     -0.37774      0.64719
CHRAC1                8  141521397  141527236      6       3  161970      0.77388       0.2195
AGO2                  8  141541264  141645718      9       5  128076     -0.56079      0.71253
PTK2                  8  141667999  142012315      2       1  148197     -0.60503      0.72742
DENND3                8  142127377  142205907     52      25  150986      0.57504      0.28263
AC040970.1            8  142134816  142140163      2       1  101373       1.4669     0.071204
SLC45A4               8  142217265  142318404      1       1  165650     -0.71372       0.7623
AC011676.3            8  142288327  142302961      2       1   70459     -0.71602      0.76301
TSNARE1               8  143293441  143484601      8       3  163034      0.29036      0.38577
ADGRB1                8  143530791  143626370      6       3  123288     0.097553      0.46114
ARC                   8  143692405  143696833     10       4  173005      -1.8645      0.96887
LNCOC1                8  143783670  143808391      1       1  130512      0.64983       0.2579
THEM6                 8  143808621  143818345      8       4  166056      -2.4427      0.99271
AC083841.1            8  143844534  143847845      3       1  159253     -0.79796      0.78755
GPIHBP1               8  144295093  144299044     10       5  173005      0.71675      0.23676
ZFP41                 8  144328991  144344875      1       1  135910      -2.3378       0.9903
RHPN1                 8  144451057  144466390      1       1  173005      -1.2329       0.8912
GSDMD                 8  144635377  144645232     17       7  154161      0.57349      0.28316
NAPRT                 8  144656955  144660819      2       1  173005    -0.033826      0.51349
PLEC                  8  144989321  145050902      1       1  143265     -0.99858        0.841
PARP10                8  145051321  145086940      1       1  135910     0.074264       0.4704
GRINA                 8  145064226  145067583      1       1   87924      -1.1947       0.8839
SPATC1                8  145086582  145101933     15      10  143545       -1.848       0.9677
SMPD5                 8  145103980  145106423      1       1   49810      -2.0969        0.982
CYC1                  8  145149930  145152428      3       1  163092       -1.196      0.88415
DGAT1                 8  145539954  145550573      2       1  173005       1.2269      0.10993
SCRT1                 8  145554228  145560144      4       2  144688      0.77038      0.22054
SLC52A2               8  145577795  145584932      8       5  158135      0.77168      0.22015
ADCK5                 8  145596790  145618457      1       1   87924     -0.72411       0.7655
VPS28                 8  145649000  145653931      2       1  167247      -1.1426      0.87339
GPT                   8  145728356  145732557      1       1  173005      -0.1881       0.5746
LRRC24                8  145747761  145752416      2       1  173005     -0.34342      0.63436
RPL8                  8  146015150  146017972      3       1  124772      0.52069      0.30129
C8orf33               8  146277764  146281416      1       1   42455     -0.93614       0.8254
CBWD1                 9     121041     188979      2       1   29740     -0.65271      0.74303
AL158832.2            9     197065     209554     40      10  164081       1.1004      0.13559
AL161725.1            9     452492     492248     10       5  140080      0.43827      0.33059
KANK1                 9     470291     746105     13       8  147440     0.099458      0.46039
AL136979.1            9     673478     685555      9       3  166396      -1.6333       0.9488
DMRT3                 9     976964     991731      4       2  157039      -1.3122      0.90527
AL358976.1            9    1041655    1042608      5       3  151461      -1.9633       0.9752
SMARCA2               9    2015342    2193624      6       3  169166       1.5054     0.066112
AL359076.1            9    2041900    2046023      1       1  173005       1.3788      0.08398
VLDLR                 9    2621834    2660053      6       4  145359      -1.1173      0.86808
ATP5PDP2              9    2900320    2900804      6       3  158825      -1.7885      0.96316
CARM1P1               9    2907073    3053408      8       5  146569    -0.069086      0.52754
GLIS3                 9    3824127    4348392     10       4  164081       1.0992      0.13585
AL359095.1            9    4070906    4071884     14       8  151919       -1.082      0.86037
SLC1A1                9    4490444    4587469      4       2  149896     0.099242      0.46047
SPATA6L               9    4553386    4666674      1       1  135910     -0.81757       0.7932
AL353151.2            9    4741741    4759639      1       1  165650      -1.3165        0.906
KLF4P1                9    4803788    4804972      1       1  173005        1.014       0.1553
JAK2                  9    4985033    5128183     16       8  148602      0.84635      0.19868
CD274                 9    5450503    5470566     28      13  158766       1.1508      0.12492
AL162253.2            9    5457477    5629748      6       4  143461       1.8425     0.032703
PDCD1LG2              9    5510545    5571282      3       1  173005      0.84623      0.19871
RIC1                  9    5629025    5776557      3       1  173005      -1.2759      0.89901
ERMP1                 9    5765076    5833117      2       1  173005     -0.28585       0.6125
AL162384.1            9    6047360    6066714      3       2  118736       2.9937     0.001378
IL33                  9    6215805    6257983      3       2  173005       1.5463     0.061016
GLDC                  9    6532464    6645650      6       3  121187      0.18041      0.42841
LINC02851             9    6704270    6707780     16       7  172285      0.42403      0.33577
AL354707.1            9    6716157    6727438      3       2  173005       -0.178      0.57064
AL513412.1            9    6902670    6978859      3       1  124187     -0.41154      0.65966
AL135923.2            9    7914514    7961224      2       1  150307     -0.39677      0.65423
PTPRD                 9    8314246   10612723      4       2  169328      0.78557      0.21606
AL583805.2            9    8700595    8701552      3       2  148350     -0.23418      0.59258
PTPRD-AS1             9    8858127    8864772      1       1  173005       1.5543      0.06006
TYRP1                 9   12685439   12710290      5       2  161109      0.20142      0.42019
LURAP1L-AS1           9   12700100   12814344      2       1  173005     -0.60263      0.72662
LURAP1L               9   12775020   12822130     20      13  148967     0.012232      0.49512
AL161449.2            9   12958502   13034325      3       2  138570      -0.2724      0.60734
MPDZ                  9   13105703   13279589      6       2  136794     -0.58907      0.72209
AL583785.1            9   13386129   13836570      1       1  144411      0.23656       0.4065
LINC01235             9   13406379   13433052     16       6  139975      -1.4469      0.92604
NFIB                  9   14081842   14398982     31      16  149456       1.8644     0.031133
AL136366.1            9   14317072   14358489     17      10  137995     -0.15881      0.56309
AL159169.1            9   14531914   14532040      9       6  155195       1.1064      0.13428
CER1                  9   14719722   14722715      1       1  173005      0.96649       0.1669
FREM1                 9   14734664   14910993      2       1  173005      0.32853      0.37125
AL512643.2            9   14779928   14784115      6       4  140962      0.97286      0.16531
AL512643.1            9   14790633   14791156      4       2  119034      0.43217      0.33281
CLCN3P1               9   14921011   15146399      1       1  173005      0.23321       0.4078
BNC2                  9   16409501   16870841     14       6  156173      -1.4042      0.91988
BNC2-AS1              9   16726812   16727522      8       3  144614      0.34695      0.36431
AL358117.1            9   16982721   16989645      4       2  162498     -0.23667      0.59354
CNTLN                 9   17134980   17503921      2       1  136550      -1.0221      0.84663
SH3GL2                9   17579080   17797127      5       3  152162      0.59961      0.27438
PABPC1P11             9   17589159   17591316      4       2  173005     -0.35682      0.63939
ADAMTSL1              9   18473892   18910948      1       1  143265    -0.015291       0.5061
RAP1BP1               9   18717972   18718524      4       2  147157     -0.33397       0.6308
RRAGA                 9   19049372   19051019     23      14  161194     -0.47291      0.68186
PLIN2                 9   19108373   19149288      2       1  173005     -0.42259       0.6637
DENND4C               9   19230433   19374139      4       2  147017     -0.50287      0.69247
RPS6                  9   19375713   19380252      3       2  166715      0.55244      0.29032
AL391834.3            9   19386925   19408530      1       1  131749    0.0095253       0.4962
AL158206.1            9   19453207   19455171      2       1   92860      -1.6062      0.94588
SLC24A2               9   19507450   19786926      1       1  173005       1.2992      0.09694
AL158077.2            9   19789177   19894854      1       1  143265       1.2585       0.1041
MLLT3                 9   20341663   20622542      3       2  163092       1.4025     0.080389
HACD4                 9   20995306   21031635      7       3  163365     -0.48465      0.68604
MIR31HG               9   21455641   21559668      1       1  173005    -0.059191       0.5236
AL359922.1            9   21802635   22029593      1       1  173005      0.91194       0.1809
CDKN2A                9   21967751   21995300      6       4  131356    -0.031312      0.51249
CDKN2B                9   22002902   22009362      4       2  144300      0.84996      0.19767
DMRTA1                9   22446840   22455739      6       2  168048     -0.66282      0.74628
AL445623.2            9   23500689   23672385      3       1  173005     -0.37296      0.64541
ELAVL2                9   23690102   23826335      5       2  163283      0.64866      0.25828
TEK                   9   27109139   27230173     41      21  159126      0.58609      0.27891
MOB3B                 9   27325207   27529779      5       2  143265       1.7273     0.042055
AL451123.2            9   27495855   27498249      6       3  129477      0.43989      0.33001
C9orf72               9   27546544   27573864     40      24  144066     -0.63315      0.73668
CTAGE12P              9   27608380   27610743      1       1  143265     -0.42368       0.6641
AL162388.2            9   29214320   29229227      1       1  173005      0.14337        0.443
LINC01242             9   30388933   30575010      3       1  173005      0.55624      0.28903
DDX58                 9   32455300   32526322      4       2  164767      0.62775      0.26508
DNAJA1                9   33025209   33039905     22       9  156488      -0.6662      0.74736
B4GALT1               9   33104080   33167354      3       1  168455       1.2296      0.10942
B4GALT1-AS1           9   33166973   33179981      1       1   97933     -0.92263       0.8219
BAG1                  9   33247818   33264761      6       4  162314      -1.1177      0.86814
NFX1                  9   33290509   33371155      9       6  160943        1.085      0.13895
AQP3                  9   33441152   33447609      3       1  143265     -0.88951      0.81314
NOL6                  9   33461439   33473928      1       1  173005     -0.96889       0.8337
SUGT1P1               9   33503653   33510709      1       1  173005     -0.82003       0.7939
PTENP1-AS             9   33676783   33688009      6       1  111551      0.73061      0.23251
PRSS3                 9   33750515   33799230      3       2  153178      -1.3495      0.91141
UBAP2                 9   33921691   34048947      2       1  143265     -0.53329      0.70308
KIF24                 9   34252379   34329198      1       1  143265      0.49897       0.3089
ENHO                  9   34521038   34523039      2       1  173005    -0.066731       0.5266
CNTFR                 9   34551430   34590121      1       1  173005    -0.016795       0.5067
CNTFR-AS1             9   34568013   34582827      2       1  173005      0.46192      0.32207
RPP25L                9   34610483   34612101      3       2  164263     -0.43063      0.66663
ARID3C                9   34621376   34628104      2       1  173005     -0.47815      0.68373
GALT                  9   34638130   34651032      2       1  173005      0.17151      0.43191
AL162231.1            9   34664160   34666109      3       2  159253      -1.5853      0.94356
AL162231.2            9   34665604   34681978      4       2  173005     -0.34599      0.63532
CCL19                 9   34689564   34691274      2       1  173005     -0.10149      0.54042
FAM214B               9   35104109   35116338      2       1  144822     -0.78367      0.78338
TESK1                 9   35605367   35610038      2       1  152145      0.16713      0.43363
CD72                  9   35609530   35646807      3       2  163092     -0.60132      0.72619
SIT1                  9   35649292   35650937      6       3  152685      0.77715      0.21853
TPM2                  9   35681989   35691017      5       1  173005     -0.62455      0.73387
TLN1                  9   35696945   35732392     10       5  159759      -1.2764       0.8991
HRCT1                 9   35906189   35907138      2       1  173005     -0.11307      0.54501
SPAAR                 9   35909480   35911683      2       1  134876      0.92285      0.17804
AL135841.1            9   35922156   35925551     21       6  167980      -1.5298      0.93697
GLIPR2                9   36136732   36163910      4       1  173005      -1.1832      0.88163
CLTA                  9   36190853   36304778      9       6  167190      0.46405      0.32131
GNE                   9   36214438   36277053      3       2  173005     -0.76694      0.77844
RNF38                 9   36336393   36487545      1       1  173005      -1.3316       0.9085
MELK                  9   36572859   36677678      1       1  124394     -0.51952       0.6983
AL450267.2            9   36779472   36830453      2       1  173005       1.2584      0.10411
PAX5                  9   36833272   37034103      2       1  107858       1.5084     0.065729
AL161781.2            9   37002694   37008037      2       1  130465     -0.57925      0.71879
EBLN3P                9   37079642   37090925      2       1  149397       1.8616     0.031333
AL512604.2            9   37112545   37120443      2       1  173005       1.5816     0.056873
FRMPD1                9   37650997   37746901      3       1  173005      0.54803      0.29183
SHB                   9   37919131   38069210      1       1  173005     -0.45348       0.6749
AL135785.1            9   38360424   38376427      2       1  173005      -2.4608      0.99307
ALDH1B1               9   38392661   38398658      2       1  165650     0.013874      0.49447
IGFBPL1               9   38408991   38424444     14       8  172987     -0.52627      0.70065
ANKRD18A              9   38540566   38620657      2       1  154458      -1.2065      0.88619
FAM201A               9   38620471   38624987      1       1   87924      0.42889        0.334
AL845472.1            9   45352939   45357020      1       1   53971      0.41246         0.34
PTGER4P2-CDK2AP2P2    9   45359303   45365869      6       2  122466     -0.28635       0.6127
PGM5P2                9   69080228   69147846      1       1  135910      -1.5117       0.9347
PGM5-AS1              9   70970105   70972768      5       2  160341      0.17623      0.43006
LINC01506             9   71158457   71161505      5       2  158806       1.1509      0.12488
PIP5K1B               9   71320575   71624092      2       1  173005     -0.35798      0.63982
AL354794.2            9   71403223   71404586      2       1  169328     -0.12142      0.54832
AL354794.1            9   71437319   71458191      1       1  173005       1.8787      0.03014
PRKACG                9   71627469   71629039      1       1  173005       1.0537        0.146
FXN                   9   71650175   71715094      2       1  152250      -2.2117      0.98651
TJP2                  9   71736209   71870124      1       1  143265       1.0283       0.1519
FAM189A2              9   71939488   72007371     11       7  135411       1.5148     0.064907
APBA1                 9   72042446   72287222      5       3  146895     -0.52398      0.69986
PTAR1                 9   72324438   72374875      7       3  152539       1.5162     0.064736
C9orf135              9   72435709   72521148      2       1  130465        2.042     0.020575
MAMDC2                9   72658497   72841886      2       1  172878     -0.45507      0.67547
SMC5                  9   72873937   72969804      5       3  171534      -1.8742      0.96955
KLF9                  9   72999503   73029540      4       2  145830      0.23914       0.4055
ZFAND5                9   74966341   74980163     15       7  147532      0.50549      0.30661
RPS27AP15             9   75356068   75356533      3       2  154350     -0.25445      0.60043
LINC01474             9   75486644   75489025      2       1  173005     -0.89478      0.81455
CYP1D1P               9   75657661   75671444      2       1  161903     -0.98437      0.83753
ANXA1                 9   75766673   75785309      5       3  144592    -0.050158         0.52
AL451127.2            9   76124580   76163247      3       2  163092     -0.27513      0.60839
AL451127.1            9   76188531   76194414      5       3  129930       3.1946   0.00070019
RORB-AS1              9   77100467   77114043      7       3  125952     0.046922      0.48129
TRPM6                 9   77337411   77503010     17      10  156763     -0.18315      0.57266
OSTF1                 9   77703459   77762181     39      20  156085     -0.16012      0.56361
VPS13A                9   79792269   80036457      2       1  173005      0.90426      0.18293
GNA14                 9   80037995   80263223      8       5  159466     -0.10614      0.54227
GNA14-AS1             9   80071211   80141613     12       8  148349      -1.2038      0.88567
PSAT1                 9   80912059   80945009     12       5  145791      0.64408      0.25976
AL161912.3            9   82465786   82466413      1       1  173005      -1.8042       0.9644
AL161782.1            9   82589938   82604979     12       7  166473       1.4609      0.07202
TLE1                  9   84198598   84304220      3       2  173005      0.63951      0.26125
RPS6P12               9   85358982   85359707      4       2  154322       -1.616      0.94695
RASEF                 9   85594500   85678092      3       2  147096    -0.054783      0.52184
AL137847.1            9   85834203   85853378      7       3  168756       0.3882      0.34893
FRMD3                 9   85857905   86153461      2       1  173005     0.081436      0.46755
AL137847.2            9   85887195   85894414      4       2  173005     0.077578      0.46908
SLC28A3               9   86890372   86955672      2       1  107730      0.20751      0.41781
AL157886.1            9   86931429   87271992     12       8  154311      0.39209      0.34749
NTRK2                 9   87283466   87638505     41      18  153946       1.7806     0.037493
AL354897.1            9   87782261   87809198      2       1  107858      0.98276      0.16286
AL353743.2            9   88398583   88420069      1       1  173005     -0.52987       0.7019
AL353743.1            9   88420274   88464457      3       1  154350      -1.1269      0.87011
GOLM1                 9   88641061   88715088      6       3  153082      -1.5866      0.94369
C9orf153              9   88835180   88874572      6       2  168048       1.0043      0.15761
ISCA1                 9   88879461   88897676      4       2  140368       1.5086     0.065704
TUT7                  9   88902648   88969369      8       5  142966     -0.92044      0.82133
AL159996.1            9   89366212   89373262      3       2  163092       0.1835       0.4272
GAS1                  9   89559279   89562104     24      13  140624     0.011182      0.49554
GAS1RR                9   89563614   89616948      3       2   81733      -1.0912      0.86242
LINC02872             9   89763559   89774471     11       4  148983     -0.39283      0.65278
DAPK1                 9   90112143   90323548      5       2  173005      0.60136       0.2738
CTSL                  9   90340434   90346308     16       7  158807      0.27941      0.38997
AL772337.4            9   90414416   90436718      1       1  173005      0.76848       0.2211
CDK20                 9   90581356   90589668      2       1  148700     -0.76308      0.77729
AL353748.2            9   91006277   91006747      6       3  129488     -0.17491      0.56942
S1PR3                 9   91606362   91619925     53      23  157459       2.0829     0.018629
SHC3                  9   91628060   91793682      2       1  169328     -0.35372      0.63822
SEMA4D                9   91975702   92113045     10       4  164707     -0.88212      0.81114
PA2G4P6               9   92064473   92065669     10       6  160361     0.055433       0.4779
AL161910.1            9   92178452   92219602      4       2  163731     -0.84954      0.80221
UNQ6494               9   92316566   92334585      2       1  154458      -1.1959      0.88413
BX470209.1            9   92501142   92523200      1       1  165951     -0.91004       0.8186
LINC01508             9   93063184   93195787      5       2  157460      -1.6628      0.95183
DIRAS2                9   93372114   93405386     14       8  150299       1.2204      0.11116
SYK                   9   93564069   93660831     46      17  162830      -1.9762      0.97594
AL355607.1            9   93719542   93727675      1       1   87924     -0.48398       0.6858
AL158071.3            9   93839420   93925369      4       2  173005      -1.1957       0.8841
LINC00484             9   93881344   93945044      3       2  144645     -0.54682      0.70775
ROR2                  9   94325373   94712444      4       2  171166      -1.1321      0.87119
LINC00475             9   94903580   94922396      6       2  162352      0.18109      0.42815
NOL8                  9   95059640   95087918      2       1  147704     -0.96275      0.83216
OMD                   9   95176527   95186743      1       1  173005      -1.5189       0.9356
ASPN                  9   95218487   95244788      9       5  144917      0.40115      0.34415
ECM2                  9   95256365   95298937      6       3  173005     -0.36244      0.64149
AL136981.4            9   95571670   95650975      1       1  173005      0.32339       0.3732
ALOX15P2              9   95675438   95683842      2       1   58832     -0.48832      0.68734
FGD3                  9   95709733   95798518      2       1  173005      -1.7917      0.96341
SUSD3                 9   95820989   95847420     39      18  161594        1.451     0.073386
CARD19                9   95858500   95875565      3       2  140554        2.717    0.0032936
NINJ1                 9   95883771   95896570      3       1  163092      0.12081      0.45192
WNK2                  9   95947198   96082854      1       1  165650       1.5066      0.06596
C9orf129              9   96080481   96108696      2       1  173005     -0.96222      0.83203
FAM120A               9   96214004   96328397     25      13  160183       3.2148   0.00065258
AL691447.2            9   97094758   97123230      1       1  173005       0.9721       0.1655
MFSD14B               9   97136833   97223324      1       1  143265       -1.369       0.9145
FBP1                  9   97365415   97402531      4       1  165570     -0.18811       0.5746
AOPEP                 9   97488983   97849441      3       1   81733       0.9416       0.1732
FANCC                 9   97861336   98079991      2       1  173005       1.1816      0.11868
AL354893.2            9   97875990   97876743      2       1  167247      -1.3077      0.90451
PTCH1                 9   98205262   98279339      7       3  154325      0.40731      0.34189
AL161729.1            9   98268517   98269918      2       1   77612       0.1195      0.45244
AL392185.1            9   98361720   98368608      1       1  173005      0.77422       0.2194
AL449403.3            9   98868023   98878693      2       1  173005       1.3635     0.086362
PRXL2C                9   99401859   99417585     10       6  134232     -0.40312      0.65657
ANKRD18CP             9   99918852   99983517      2       1  130465      0.19864      0.42127
CCDC180               9  100000765  100140806      3       2  173005      0.20218      0.41989
MIR1302-8             9  100125836  100125963      2       1  167247      -0.4656      0.67925
AL512590.3            9  100165991  100174190      6       3  151247      0.12778      0.44916
TDRD7                 9  100174232  100258407      2       1  147871     -0.61493       0.7307
TMOD1                 9  100263462  100364030      2       1   97695       1.4814     0.069255
AL162385.1            9  100274988  100280118      5       3  144352     -0.21125      0.58365
AL162385.2            9  100396797  100398333      2       1  173005      -1.9001      0.97129
TRMO                  9  100666771  100684852      6       3  156906      0.23563      0.40686
ANP32B                9  100745643  100778225      1       1  173005     -0.77761       0.7816
NANS                  9  100819021  100845357      2       1  173005        1.226      0.11009
TRIM14                9  100831557  100881494     22      13  160649       1.3084     0.095377
CORO2A                9  100883257  100954922      6       3  147578      0.49867        0.309
GABBR2                9  101050391  101471479     28      12  155973      0.11193      0.45544
GALNT12               9  101569981  101612363      5       3  138922     -0.54974      0.70875
COL15A1               9  101705461  101833069      6       2  173005      0.77164      0.22016
TGFBR1                9  101866320  101916474     43      20  151624       1.8368     0.033117
NR4A3                 9  102584137  102629173      5       3  144450     -0.21769      0.58617
STX17-AS1             9  102648608  102668883      4       2  159096      0.75647      0.22468
TEX10                 9  103064359  103115221      1       1   42455       1.0692       0.1425
TMEFF1                9  103204560  103339918      3       2  159253     -0.18089      0.57177
RN7SKP87              9  103343361  103343661      3       2  173005    -0.048141       0.5192
PLPPR1                9  103790991  104087417      1       1  143265      -1.2747       0.8988
GRIN3A                9  104331635  104500862      5       1  155161      0.50342      0.30733
OR13C3                9  107298030  107299137      1       1  173005       2.5518     0.005359
OR13C1P               9  107419035  107419997      1       1  173005       1.7557      0.03957
NIPSNAP3A             9  107509969  107522403      1       1  173005     -0.15528       0.5617
NIPSNAP3B             9  107526438  107539738      1       1  173005      0.80642         0.21
ABCA1                 9  107543283  107690518     50      23  165327     0.052233      0.47917
SLC44A1               9  108006903  108201452      8       5  157117       1.7015     0.044428
FSD1L                 9  108210077  108314714      5       3  167057      0.10217      0.45931
AL158070.2            9  108418650  108420270      1       1  173005      0.19806       0.4215
TMEM38B               9  108456825  108538893      1       1  173005     -0.40974        0.659
AL451140.1            9  109346423  109354233      2       1   65190    0.0084779      0.49662
ZNF462                9  109625378  109775915      3       2  135609       1.8621     0.031295
AL807761.4            9  109737114  109865269      2       1  137337      -0.4394      0.66981
AL807761.2            9  109879110  109879838      1       1  173005       2.2839      0.01119
RNU6-492P             9  110237317  110237420      7       3  126885     -0.54248      0.70626
KLF4                  9  110247133  110252763     43      24  141414     -0.63537      0.73741
ACTL7B                9  111616871  111619239      2       1  165650     0.068971      0.47251
CTNNAL1               9  111704851  111775809      4       2  137189      0.51876      0.30197
FRRS1L                9  111892573  111929571      1       1  173005       1.0468       0.1476
EPB41L4B              9  111934255  112083244      8       4  160930     -0.88139      0.81095
PTPN3                 9  112137746  112260590      6       2  171086      0.10421       0.4585
AL158829.1            9  112522640  112534323      7       3  157653      0.45279      0.32535
PALM2AKAP2            9  112542589  112934792      1       1  173005      0.67449         0.25
SVEP1                 9  113127531  113342160      2       1  173005      0.68188      0.24766
AL592463.1            9  113361755  113367499     12       7  159336      -1.9967      0.97707
LPAR1                 9  113635543  113800981      3       2  170553       1.6141     0.053257
AL162414.1            9  113901526  114047116     19       9  155992      0.94337      0.17274
ECPAS                 9  114122972  114247025      1       1  124139       2.6401     0.004144
ZNF483                9  114287439  114340124      5       2  165817     -0.33357      0.63065
PTGR1                 9  114312002  114362135      3       2  129488     -0.38215      0.64882
GNG10                 9  114423615  114432526      2       1  104053      -0.1989      0.57883
SHOC1                 9  114448453  114557288      2       1  173005       1.5834      0.05667
UGCG                  9  114659046  114697649     14       7  143214      0.78485      0.21627
SUSD1                 9  114803065  114937688      2       1  173005      0.23146      0.40848
PTBP3                 9  114980715  115095947     28      13  159883       1.7236      0.04239
C9orf147              9  115196096  115249484      3       2  158255      0.96117      0.16823
